CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,Standard: CERT C,Standard: 2019 CWE Top 25,Checker,CWE,Comparison,Issue Kind,External Reference,Language,First Snapshot Date,First Snapshot Description,First Snapshot,First Snapshot Stream,First Snapshot Target,First Snapshot Version,Fix Target,Function Merge Name,Last Snapshot Date,Last Snapshot Description,Last Snapshot,Last Snapshot Stream,Last Snapshot Target,Last Snapshot Version,Last Triage Comment,Last Triaged,Last Triaged User,Legacy,Line Number,Merge Extra,Merge Key,Count,Owner Name,Score
473951,Overflowed array index read,High,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/deflate_p.h,zng_tr_tally_dist,None,Rank-5,INTEGER_OVERFLOW,125,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,zng_tr_tally_dist,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,92,,f6b3c6fa2fdc7a77a4536c64f2293e54,1,,
473950,Overflowed constant,Medium,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/arch/x86/crc32_fold_pclmulqdq_tpl.h,crc32_fold_pclmulqdq_copy,None,Rank-8,INTEGER_OVERFLOW,190,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,crc32_fold_pclmulqdq_copy,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,137,,a04d8f069a5ae90a44037282bfaa5dcf,1,,
473948,Overflowed constant,Medium,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/chunkset_tpl.h,chunkmemset_avx512,None,Rank-8,INTEGER_OVERFLOW,190,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,chunkmemset_avx512,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,167,,f7de1b25235d220c194bc34ecd1f6dc7,1,,
473947,Overflowed constant,Medium,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/arch/generic/crc32_braid_c.c,crc32_braid,None,Rank-8,INTEGER_OVERFLOW,190,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,crc32_braid,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,120,,a8bf9dc49f215bb6ad9bc40694655824,1,,
473946,Overflowed constant,Medium,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/chunkset_tpl.h,chunkmemset_avx2,None,Rank-8,INTEGER_OVERFLOW,190,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,chunkmemset_avx2,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,167,,c1f18297a477eb209d498315b5c650dc,1,,
473945,Overflowed constant,Medium,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/arch/x86/crc32_fold_pclmulqdq_tpl.h,crc32_fold_pclmulqdq,None,Rank-8,INTEGER_OVERFLOW,190,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,crc32_fold_pclmulqdq,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,137,,1303d45610854500625aabbc29559fa9,1,,
473944,Overflowed constant,Medium,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/arch/x86/adler32_sse42.c,adler32_fold_copy_sse42,None,Rank-8,INTEGER_OVERFLOW,190,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,adler32_fold_copy_sse42,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,90,,42fa4202a0b37992e60778a7a9b8059c,1,,
473943,Overflowed constant,Medium,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/arch/x86/crc32_fold_pclmulqdq_tpl.h,crc32_fold_vpclmulqdq,None,Rank-8,INTEGER_OVERFLOW,190,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,crc32_fold_vpclmulqdq,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,137,,8d3cac59e872ba2f3c713b0a29062b0d,1,,
473942,Overflowed constant,Medium,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/arch/x86/crc32_fold_pclmulqdq_tpl.h,crc32_fold_vpclmulqdq_copy,None,Rank-8,INTEGER_OVERFLOW,190,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,crc32_fold_vpclmulqdq_copy,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,137,,961e914e96dd929c40f0330a621ed122,1,,
473941,Overflowed constant,Medium,New,01/26/25,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/inflate_p.h,chunkcopy_safe,None,Rank-8,INTEGER_OVERFLOW,190,Absent,Various,,C,01/26/25,Test x86 32/64bit build,102063,zlib-ng-zlib-ng,,develop pre-2.2.4,Untargeted,chunkcopy_safe,02/09/25,Test x86 32/64bit build,102677,zlib-ng-zlib-ng,,2.2.4-rc,,,,False,197,,0deb09441f0f9dff348fdd8019c1a249,1,,
